weight-range,year-range,name,model-year,mpg,weight,percent-weight-front,length,width,height,cylinders,eng-displacement,trans,trans-speed
2500-3000,1998-2002,Infiniti G20,2000,24,2930,62,176.38,66.54,55.12,4,2,0,5
3500-4500,1988-1992,Toyota Prius 4DR Hatch FWD,2009,46,2937,60,175.59,68.11,58.27,4,1.5,1,2
2500-3000,2003-2008,Toyota Prius,2006,46,2937,60,175.59,68.11,58.27,4,1.5,1,5
2500-3000,2003-2008,Toyota Prius,2008,46,2937,60,175.59,68.11,58.27,4,1.5,1,5
2500-3000,1988-1992,Toyota Prius 4DR Hatch FWD,2008,46,2937,60,175.59,68.11,58.27,4,1.5,1,5
2500-3000,2009-2015,Volkswagen Bettle,2012,25,2938.76,63,168.5,71.26,58.66,4,2,1,6
2500-3000,1988-1992,Mercedes-Benz 190E2.6,1991,19,2948,54,175.2,66.54,54.33,6,2.6,1,4
2500-3000,1988-1992,Audi 100 Sedan,1992,20,2959,61,192.91,71.26,55.51,6,2.8,0,5
2500-3000,1993-1997,Ferrari F355,1997,11,2970,64,167.32,74.8,46.06,8,3.5,0,6
2500-3000,1993-1997,Ferrari F355 Spyder,1996,11,2970,56,167.32,74.8,46.06,8,2.1,0,6
2500-3000,1993-1997,Jeep Cherokee 2DR,1997,16,2972,50,167.72,68.11,64.17,6,4,1,4
3500-4500,1988-1992,pontiac Vibe,2006,28,2974,59,172.05,70.08,62.2,4,1.8,1,7
2500-3000,1998-2002,BMW 318TI,1999,24,2981,51,174.41,67.32,53.94,4,1.9,0,5
2500-3000,1998-2002,Suzuki Vitara,2000,21,2981,54,159.84,67.32,68.5,4,2,0,5
2500-3000,1998-2002,Chrysler Cirrus,2000,21,2985,64,185.83,70.87,53.94,4,2.4,1,4
3000-3500,2009-2015,Porsche Boxster,2010,24,2987.26,54,170.47,70.87,51.18,6,2.9,1,7
2500-3000,2009-2015,Porsche Boxster S,2011,23,2987.26,54,170.47,70.87,51.18,6,3.4,1,7
2500-3000,2009-2015,Porshe Boxster S,2010,23,2987.26,54,170.47,70.87,51.18,6,3.4,1,7
2500-3000,1998-2002,Audi A4,2000,22,2992,59,177.95,68.11,55.91,4,1.8,1,5
2500-3000,2009-2015,Porsche 911 GT3,2012,16,2998.28,38,175.59,72.83,50.39,6,3.8,0,6
3000-3500,2003-2008,Dodge Caliber,2007,32,3000,61,173.62,68.9,60.24,4,1.8,0,5
3000-3500,1988-1992,Saab 900 Turbo Convertible,1990,22,3003,61,184.25,66.54,55.12,4,2,0,5
3000-3500,1998-2002,Honda Accord,2001,23,3007,61,187.8,70.47,55.12,4,2.3,1,4
3000-3500,1998-2002,Honda Accord,2002,25,3007,61,187.8,70.47,55.12,4,2.3,0,5
3000-3500,1998-2002,Subaru Forester,2000,21,3012,55,175.2,68.5,62.99,4,2.5,0,5
3000-3500,2009-2015,Mazda 3,2011,27,3024.74,61,177.46,69.29,57.87,4,2,1,5
3000-3500,1988-1992,Chrysler LE Baron,1992,21,3034,64,182.68,68.11,53.54,4,2.5,0,3
3000-3500,2003-2008,Porsche Carrera GT,2005,11,3036,42,181.5,75.79,46.06,10,5.7,0,6
3000-3500,1988-1992,Volvo 240 DL Wagon,1988,21,3040,53,190.55,67.32,57.48,4,2.3,0,5
3000-3500,1993-1997,Buick Century 4DR Sedan,1994,24,3043,65,188.98,69.29,54.33,4,2.2,1,3
3000-3500,2003-2008,Mazda RX-8 Coupe,2007,19,3045,52,174.41,69.69,52.76,2,1.3,1,6
3000-3500,2003-2008,Nissan Altima,2008,23,3049,58,182.68,70.87,55.51,4,2.5,1,6
3000-3500,1988-1992,Acura Legend Base,1989,18,3071,63,189.37,68.5,54.72,6,2.7,0,5
3000-3500,1998-2002,Volkswagen Jetta,2001,20,3080,61,172.44,68.5,57.09,6,2.8,1,4
3000-3500,1998-2002,BMW M Roadster 3.2L,1999,23,3080,50,158.66,68.5,50,6,3.2,1,5
3000-3500,1993-1997,SUBARU LEGACY (4dr sedan gt/lsi),1997,24,3084,56,181.1,67.72,55.51,4,2.2,1,4
3000-3500,1998-2002,Subaru Forester AWD,2002,21,3102,55,175.59,68.5,62.99,4,2.5,1,4
3000-3500,1998-2002,BMW 318i Cabriolet,1998,23,3124,51,174.41,67.32,53.94,4,1.9,1,4
3000-3500,1988-1992,Mercury Sable GS,1990,20,3131,65,192.13,70.87,54.33,6,3.8,1,4
3000-3500,1993-1997,ACURA VIGOR (ls/gs 4dr sedan),1993,20,3144,59,190.16,70.08,53.94,5,2.5,1,5
3000-3500,2003-2008,Toyota Camry,2005,25,3157,59,189.37,70.87,58.66,4,2.4,1,5
3000-3500,1998-2002,Acura NSX,1998,18,3157,42,174.41,71.26,46.06,6,3.2,0,6
3000-3500,1998-2002,BMW M3,1998,21,3168,50,174.41,66.93,53.94,6,3.2,0,5
3000-3500,1993-1997,VOLVO 850 (4dr Sedan base/glt),1995,21,3172,62,183.46,69.29,55.91,5,2.4,1,5
3000-3500,2003-2008,Mercedes-Benz C230 Kompressor Classic,2004,23,3179,53,178.35,68.11,55.12,4,1.8,1,5
3000-3500,2003-2008,BMW 325Ci,2006,21,3190,50,176.77,69.29,53.94,6,2.5,0,5
3000-3500,1998-2002,BMW 328i,1999,21,3190,50,175.98,68.5,55.91,6,2.8,0,5
3000-3500,2009-2015,Chevrolet Corvette 2DR Convertable,2009,18,3192,52,174.8,72.44,49.21,8,6.2,1,6
1500-2000,1998-2002,Chrysler Sebring,1999,25,3197,64,190.94,69.69,53.15,4,2,0,5
3000-3500,2009-2015,Volvo S60,2009,23,3201,59,181.1,70.87,56.3,5,2.5,1,5
3000-3500,2009-2015,Chevrolet Corvette,2011,23,3220.95,52,174.8,72.44,49.21,8,6.2,1,6
3000-3500,1988-1992,Chrystler New Yorker,1989,19,3221,60,193.7,68.5,53.54,6,3,0,4
3000-3500,2009-2015,VOLKSWAGEN - JETTA,2009,33,3223,60,179.13,70.08,57.48,4,2,1,6
3000-3500,2003-2008,Volkswagen Jetta,2008,22,3223,60,179.83,70.08,57.48,4,2,1,6
3000-3500,2003-2008,Toyota Avalon,2005,25,3223,63,192.91,71.65,56.3,4,2.4,0,5
3000-3500,2003-2008,Acura TSX,2005,31,3230,60,183.07,69.29,57.48,4,2.4,0,6
3000-3500,2009-2015,Jeep Patriot,2011,25,3249.61,56,173.62,69.29,64.57,4,2,1,5
3000-3500,2009-2015,BMW 128i 2DR Coupe,2009,22,3252,52,171.65,68.9,55.51,6,3,1,6
3000-3500,1998-2002,Acura 2.5TL,1998,20,3256,59,191.73,70.47,55.51,5,2.5,1,4
3000-3500,2003-2008,Mitsubishi Coupe,2006,22,3267,59,179.92,72.44,53.54,4,2.4,1,4
3000-3500,1988-1992,Buick Lasabre,1991,20,3269,64,196.46,72.44,55.51,6,3.8,0,4
3000-3500,1998-2002,Chevrolet Monte Carlo,1998,21,3269,65,200.79,72.44,53.94,6,3.1,1,4
3000-3500,1993-1997,TOYOTA AVALON (4dr sedan xl/xls),1995,21,3278,62,190.16,70.47,56.3,6,3,1,4
3000-3500,1988-1992,Buick Electra Park Ave,1989,20,3300,63,197.24,72.44,54.33,6,3.8,0,4
3000-3500,1993-1997,Chrysler Concorde 4DR Sedan,1994,21,3302,65,202.76,74.41,56.3,6,3.3,1,4
3000-3500,1993-1997,Ford Explorer,1995,17,3302,62,178.74,70.08,67.32,6,4,0,5
3000-3500,2009-2015,Ferrari Italia,2011,34,3306.93,60,189.37,71.65,57.48,4,2.5,0,6
3000-3500,2009-2015,TOYOTA - CAMRY,2011,26,3306.93,60,189.37,71.65,57.48,4,2.5,1,6
3000-3500,1998-2002,Jeep Cherokee,2000,17,3307,56,166.14,69.29,66.93,4,2.5,0,5
3000-3500,1988-1992,Buick Electra 4DR,1988,21,3311,63,196.85,72.05,54.33,6,3.8,1,4
3000-3500,2003-2008,Ford Mustang GT Coupe,2003,26,3317,58,183.07,73.23,53.15,8,4.6,0,5
3000-3500,1998-2002,Chevrolet Camaro 2DR Hatchback,2001,22,3318,57,193.7,74.02,51.18,6,3.8,0,5
3000-3500,2003-2008,Audi A3 3.2 Quattro,2008,21,3329,55,166.9,69.5,55.9,6,3.2,1,6
3000-3500,1998-2002,Infiniti i30,2000,21,3335,61,193.7,70.08,56.69,6,3,1,4
1500-2000,1988-1992,Chyrsler New Yorker,1992,19,3337,63,193.7,68.9,53.54,6,3.3,1,4
3000-3500,2003-2008,BMW 328i,2008,21,3344,50,180.71,70.08,54.33,6,3,0,6
2000-2500,1988-1992,Kia Sportage,2000,19,3353,57,162.2,68.11,64.96,4,2,0,5
3000-3500,2003-2008,Honda Accord ,2007,25,3357,61,187.8,71.26,55.91,4,2.4,1,5
3000-3500,2009-2015,Cadillac ATS,2013,26,3358,50,183.07,70.87,53.94,4,2.5,1,6
3000-3500,1998-2002,Buick Century,2002,21,3362,64,194.49,72.83,56.69,6,3.1,1,4
3000-3500,2009-2015,HYUNDAI MOTOR COMPANY - GENESIS COUPE,2013,24,3362,55,182.28,73.23,54.33,4,2,0,6
3000-3500,2009-2015,NISSAN - ALTIMA,2010,23,3364.25,61,190.55,70.87,57.87,6,3.5,1,6
3500-4500,1993-1997,Lexus ES 300 4dr Sedan,1994,18,3366,63,187.8,70.08,53.94,6,3,1,4
3000-3500,1993-1997,Mercury Sable 4DR Sedan,1997,21,3381,64,199.61,72.83,55.51,6,3,1,4
3500-4500,1993-1997,BMW 535i 4dr Sedan ,1993,17,3388,50,185.83,68.9,55.51,6,3.4,1,4
3000-3500,1988-1992,Toyota Cressida,1992,19,3388,52,189.76,67.32,54.72,6,3,0,4
3000-3500,2009-2015,Chrysler 200,2012,24,3388,60,191.73,72.44,54.72,4,2.4,1,6
3000-3500,2009-2015,Chrysler Sedan,2011,30,3388.5,60,191.73,72.44,54.72,4,2.4,1,4
3000-3500,1998-2002,Porsche 911 Turbo,2002,16,3390,39,174.8,72.05,51.18,6,3.6,0,6
3000-3500,2003-2008,Dodge Avenger,2008,24,3392,62,190.94,71.65,58.66,4,2.4,1,4
3000-3500,2009-2015,Dodge Avenger,2011,29,3392.91,56,192.52,72.83,58.27,6,3.6,1,6
3000-3500,2009-2015,Acura TSX,2009,25,3399,60,186.22,72.44,56.69,4,2.4,1,5
3000-3500,2003-2008,Dodge Viper,2006,14,3401,48,174.41,75.2,47.64,10,8.3,0,6
3000-3500,1993-1997,Audi A6,1996,19,3406,60,192.91,70.74,54.33,6,2.8,0,4
3000-3500,2003-2008,Pontiac G6,2007,21,3406,62,188.98,70.47,57.09,6,3.6,1,6
3000-3500,2009-2015,BMW 328i,2012,27,3406,50,181.89,71.26,56.3,4,2,0,6
3000-3500,2009-2015,Acura Sedan TL 4WD,2011,26,3406.14,60,186.22,72.44,56.69,6,3.7,0,6
3000-3500,1998-2002,Cheverolet Camaro,2000,21,3417,57,193.7,74.02,51.18,6,3.8,0,5
2500-3000,1998-2002,Dodge Neon,2002,27,3417,64.6,176.77,75.59,44.09,4,2,0,5
3000-3500,1993-1997,Ford Aerostar,1994,17,3432,61,174.8,71.65,73.23,6,3,0,4
3000-3500,1988-1992,Cadillac Seville,1988,18,3441,67,188.19,70.87,53.94,8,4.5,1,4
3000-3500,1998-2002,Acura 3.2 TL,1999,20,3443,62,192.91,70.47,56.3,6,3.2,1,4
3000-3500,2009-2015,Ford Taurus,2012,22,3445,60,190.16,72.05,57.09,4,2.5,0,6
3000-3500,2009-2015,Ford - FUSION AWD,2012,19,3445.82,60,190.16,72.05,57.09,6,3.5,1,6
3000-3500,1993-1997,Acura Legend,1993,19,3447,60,194.88,71.26,55.12,6,3.2,1,4
3000-3500,1993-1997,ACURA LEGEND (base/l/ls 4dr sedan,1993,19,3447,60,192.52,71.26,53.54,6,3.2,1,4
3000-3500,1993-1997,Acura Legend,1995,19,3447,60,194.88,71.26,55.12,6,3.2,0,6
3000-3500,2009-2015,Honda Insight LX/EX,2010,41,3452.43,62,190.94,72.83,56.3,4,1.3,1,7
3000-3500,1998-2002,Acura 3.2 TL 4DR SEDAN,2000,21,3454,62,129.91,70.47,56.3,6,3.2,1,5
3000-3500,1993-1997,Infiniti J30 4DR Sedan,1994,18,3467,57,191.34,69.69,54.33,6,3,1,4
3000-3500,1993-1997,BMW 528i,1997,21,3476,52,185.83,68.9,55.51,6,2.8,0,5
3000-3500,2003-2008,Acura Sedan,2005,21,3487,61,189.37,72.44,56.69,6,3.2,0,6
3000-3500,1988-1992,Cadillac Coupe de Ville,1991,18,3498,64,202.76,73.23,54.72,8,4.9,0,4
3000-3500,1988-1992,VW Eos Convertible 4DR,2009,25,3498,58,173.62,70.47,56.69,4,2,1,6
3000-3500,2003-2008,Cadillac ATS,2007,27,3500,51,191.6,62,58,6,2.8,1,6
3500-4500,2003-2008,Acura Coupe Type S,2003,21,3502,62,192.13,70.47,55.51,6,3.2,1,5
3500-4500,1998-2002,Ford Taurus Wagon,2000,20,3505,60,199.61,72.83,57.87,6,3,1,4
3500-4500,2003-2008,Chevy Blazer,2003,16,3509,55,176.66,67.72,64.96,6,4.3,0,5
3500-4500,2009-2015,Lexus IS 350,2012,22,3527.39,52,180.32,70.87,56.3,6,3.5,1,6
3500-4500,1988-1992,Chevoret Convertible,2001,23,3549,53,193.7,74.02,51.97,4,2.2,1,6
3500-4500,1998-2002,BMW Z8,2002,12,3553,50,173.23,72.05,51.97,8,4.9,1,6
1500-2000,1988-1992,Cadillac Seville,1992,18,3557,63,204.33,74.41,53.94,8,4.9,1,4
3500-4500,1988-1992,Pontiac Bonneville LE,1990,20,3557,63,198.82,72.05,55.51,6,3.8,0,4
3500-4500,2003-2008,Audi R8,2008,15,3571,44,174.6,76,49.3,8,4.2,0,6
3500-4500,1998-2002,Lamborghini Diablo VT,2000,13.7,3575,41,175.58,80.31,44.09,12,5.5,0,5
3500-4500,2009-2015,BMW 3 Series 335i,2011,22,3593.53,50,178.35,71.65,55.91,6,3,1,6
3500-4500,1998-2002,Mazda B4000,2000,16,3595,63,202.76,70.47,67.72,6,4,0,5
2000-2500,1988-1992,MKZ 4WD,2011,21,3600.14,61,190.55,72.05,55.51,6,3.5,1,6
3500-4500,1988-1992,Mercury Cougar LS,1991,18,3608,57,198.82,72.83,52.76,8,5,0,4
3500-4500,1988-1992,Lincoln Continental,1988,18,3630,62,205.12,72.83,55.51,6,3.8,0,4
3500-4500,2009-2015,Subaru Outback AWD Wagon,2011,24,3633.21,53,187.8,71.65,65.75,4,2.5,1,6
3500-4500,1988-1992,lincoln Sable,2004,20,3674,52,194.09,73.23,55.91,6,3,1,4
3500-4500,1998-2002,Oldsmobile Aurora,2001,20,3678,62,199.21,72.83,56.69,6,3.5,1,4
3000-3500,2003-2008,Lexus GS 350,2008,22,3696,53,190.16,71.65,56.3,6,3.5,1,6
3500-4500,1998-2002,Suzuki Grand Vitara XL7,2002,16,3718,54,180.31,70.08,68.11,6,2.7,0,5
3500-4500,1998-2002,Ferrari 456 MGT,2000,11,3718,48,186.22,75.59,51.18,12,5.5,0,6
3500-4500,1998-2002,Ferrari 456M,2002,13,3718,48,186.22,75.59,51.18,12,5.5,0,6
3500-4500,1993-1997,Mazda MPV (Van),1997,16,3722,56,183.46,72.05,68.11,6,3,1,4
3500-4500,1998-2002,Ford Windstar,1999,18,3725,59,201.18,75.59,65.75,6,3.8,1,4
1500-2000,1988-1992,Ford Crown Victoria,1992,20,3738,56,212.6,77.95,56.69,8,4.6,1,4
3000-3500,2009-2015,Jaguar XK,2012,19,3739.04,53,188.19,74.41,51.97,8,5,1,6
3500-4500,2009-2015,Ford Mustang,2010,19,3750,53,188.19,74.02,55.91,8,4.6,1,5
3500-4500,1988-1992,Lexus LS400,1992,18,3751,54,196.85,71.65,55.51,8,4,1,4
3500-4500,1993-1997,Lexus LS400,1993,18,3751,54,196.85,71.65,55.51,8,4,1,4
3500-4500,1998-2002,Toyota Sienna,1998,18,3751,58,193.7,73.62,67.32,4,3,1,4
3500-4500,1998-2002,Toyota Sienna,1999,18,3751,58,193.7,73.62,67.32,6,3,1,4
3500-4500,2009-2015,Chevrolet Colorado 2WD,2012,19,3752.26,57,207.09,68.5,63.78,5,3.7,1,4
3500-4500,1993-1997,Cadillac DeVille,1996,19,3760,62,209.84,76.77,56.3,8,4.6,1,4
1500-2000,1988-1992,Lexus LS400,1990,18,3760,54,196.85,71.65,55.12,8,4,1,4
3500-4500,1998-2002,Cadillac Catera,1998,18,3762,54,193.7,70.47,56.3,6,3,1,4
3500-4500,2003-2008,Kia Amanti,2008,19,3762,62,196.85,72.83,58.66,6,3.8,1,5
3500-4500,2003-2008,Aston Martin Volante,2006,13,3771,50,185.04,74.02,50,12,5.9,0,6
2500-3000,1998-2002,Maserati Spider,2002,12,3784,48,169.29,71.65,51.57,8,4.2,0,6
2000-2500,1988-1992,Maserati Spider,2004,13,3784,53,168.9,71.65,51.57,8,4.2,0,6
3500-4500,2003-2008,Lincoln Sedan,2006,18,3804,56,194.09,73.23,55.91,8,3.9,1,5
3500-4500,2009-2015,Volkswagen Passat Wagon,2009,22,3810,58,188.19,71.65,57.87,4,2,1,6
3500-4500,2003-2008,Ford Freestyle,2006,19,3817,55,200,74.8,64.96,6,3,1,5
3500-4500,2009-2015,BMW 328i,2011,22,3825.02,50,172.05,68.9,55.51,6,3,0,6
3500-4500,2003-2008,Chevrolet Blazer 4WD,2003,15,3839,45,176.77,67.72,64.57,6,4.3,0,6
3500-4500,2009-2015,Toyota Highlander,2011,19,3847.06,55,188.58,75.2,69.29,6,3.5,1,5
3500-4500,2003-2008,Dodge Dakota Pickup,2004,17,3861,58,209.84,71.65,64.96,6,3.7,1,4
3500-4500,2009-2015,Aston Martin DB9,2010,15,3880.13,50,185.04,74.02,50,12,5.9,1,6
3500-4500,2009-2015,Aston Martin DB9,2012,15,3880.13,50,185.04,74.02,50,12,5.9,1,6
3500-4500,2003-2008,Buick Park Avenue,2005,21,3929,58,206.69,74.8,57.48,6,3.8,1,4
3500-4500,2003-2008,Toyota Tacoma,2005,17,3940,58,208.72,74.8,70.08,6,4,1,5
3500-4500,1998-2002,Jeep Grand Cherokee ,1999,14,3960,56,181.5,72.44,69.29,8,4.7,1,4
3500-4500,1993-1997,Isuzu Rodeo,1995,17,3964,51,176.38,68.5,66.54,4,2.6,0,5
3500-4500,1998-2002,Toyota 4Runner 4WD,2000,17,3967,58,178.74,70.87,69.29,4,2.7,0,5
3500-4500,2009-2015,Mercedez-Benz CLS 550,2009,23,3982,52,193.7,73.62,54.72,8,5.5,1,6
3500-4500,2003-2008,Jeep Liberty,2006,17,4002,55,166.14,71.65,70.47,6,3.7,1,4
3500-4500,2003-2008,Jeep Liberty,2007,17,4002,55,166.14,71.65,70.47,6,3.7,0,6
3500-4500,1998-2002,Jaguar XKR Convertible,2002,12.4,4013,55,187.4,72.05,50.79,8,4.2,1,6
3500-4500,2003-2008,Dodge Caravan,2003,17,4030,57,188.98,78.74,68.9,6,3.8,1,4
3500-4500,2009-2015,Mercedes-Benz E 350 4MATIC,2011,19,4034.45,52,191.73,72.83,57.87,6,3.5,1,7
3500-4500,1998-2002,Ford F-150,2000,16,4041,61,220.87,75.59,72.05,6,4.2,1,4
3500-4500,2003-2008,Jeep Wrangler,2007,16,4066,50,173.23,74.02,70.87,6,3.6,0,6
3500-4500,2003-2008,Ford Edge,2008,19,4077,60,187.01,74.8,66.14,6,3.5,1,6
3500-4500,2009-2015,Audi Q5 5DR SUV 2.0,2012,22,4089.57,53,182.28,74.8,65.35,4,2,1,8
3500-4500,2009-2015,Porsche Panamera 4S,2011,19,4100.59,54,195.67,75.98,55.91,8,4.8,1,7
3500-4500,1998-2002,Nissan Pathfinder,2002,15,4101,55,182.68,71.65,68.11,6,3.5,0,5
1500-2000,1993-1997,Toyota 4-Runner,1995,18,4116,55,176.77,66.54,66.4,4,2.4,0,5
3500-4500,2009-2015,Jeep Liberty 4WD SUV,2012,17,4127.05,52,176.77,72.44,71.26,6,3.7,1,4
