weight-range,year-range,name,model-year,mpg,weight,percent-weight-front,length,width,height,cylinders,eng-displacement,trans,trans-speed
3500-4500,2009-2015,Jeep Wrangler 4WD,2012,18,4131.46,50,152.76,73.62,72.44,6,3.6,1,5
3500-4500,2009-2015,Maserati Granturismo,2011,15,4144.49,49,192.13,72.83,53.15,8,4.2,1,6
2000-2500,1988-1992,Ferrari California,2012,15,4144.69,47,179.53,74.8,51.57,8,4.3,1,7
3500-4500,1998-2002,Ford Explorer,2001,20,4156,56,205.9,71.8,70.08,6,4,0,5
3500-4500,1988-1992,Cadillac Brougham,1989,18,4182,55,220.87,76.38,56.69,8,5,1,4
3500-4500,1998-2002,Mercedes-Benz ML320,1998,17,4191,51,180.71,72.05,70.08,6,3.2,1,5
3500-4500,1998-2002,Honda Odyssey,1999,19,4202,58,201.18,75.59,68.5,6,3.5,1,4
3500-4500,1998-2002,Volkswagon Eurovan GLS,2000,15,4211,63,188.58,72.44,76.38,6,2.8,1,4
3500-4500,2003-2008,Mercedes-Benz E500,2004,17,4224,51,191.73,71.65,59.06,8,5,1,7
3500-4500,1998-2002,BMW 740I,1999,16,4279,51,201.57,73.23,56.3,8,4.4,1,5
3500-4500,2009-2015,Toyota FJ Cruiser,2009,26,4286,53,177.17,75.2,72.05,4,2,1,5
3500-4500,1998-2002,Toyota Tundra,2000,15,4290,53,212.99,75.2,71.26,6,3.4,1,4
3500-4500,1998-2002,Honda Odyssey,2002,19,4301,57,201.18,75.59,68.5,6,3.5,1,5
3500-4500,2009-2015,Honda Pilot FWD,2012,21,4327.67,55,190.94,78.35,72.83,6,3.5,1,5
3500-4500,2003-2008,Ford Explorer,2005,15,4365,52,189.37,72.05,71.26,6,4,1,5
3500-4500,2003-2008,BMW 745i,2003,19,4367,50,198.03,74.8,58.66,8,4.4,1,6
3500-4500,1988-1992,Acura MDX,2003,17,4374,52,188.19,77.17,71.26,6,3.5,1,5
3000-3500,1988-1992,Honda Odyssey,2008,20,4376,55,201.18,77.17,68.9,6,3.5,1,5
3500-4500,2009-2015,Maserati Quattroporte,2012,15,4376.5,47,198.2,74.41,56.69,8,4.7,1,6
3500-4500,1993-1997,Land Rover Discovery,1997,13,4455,48,178.74,70.47,77.56,8,4,0,5
3000-3500,1988-1992,Porsche Cayenne S,2012,18,4552.54,53,190.94,76.38,67.32,8,4.8,1,8
2000-2500,1988-1992,Hummer H3 4WD,2006,15,4690,50,182.28,85.43,74.41,5,3.5,1,4
3000-3500,1988-1992,Chevrolet K1500 Suburban 4WD,2002,13,5333,52,219.29,78.74,74.8,8,5.3,1,4
